dTransDataVendita,hTransOraVendita,CodiceAcquirente,iProdID,vchClasseProdottoDescrizione,vchSpecieDescrizione,nTransQuantita,nTransPrezzoUnitario,nTransPrezzoVendita,nTransPrezzoFinale,iTransProgressivoBarca,iProduttoreID,iQualitaID,vchQualitaDescrizione,nNumCasse
2002/9/19,05:06,105,34,GRANDE,Piovra,0.86,6.65,5.72,5.72,1,138,2,Molto fresco e ben conservato (48 ore),1
2002/9/19,05:07,279,97,GRANDE,Triglia Eviscerata,7,3.55,24.85,24.85,1,138,2,Molto fresco e ben conservato (48 ore),1
2002/9/19,05:09,279,54,GRANDE,Pannocchie Vive,5.21,7.38,38.45,38.45,5,138,2,Molto fresco e ben conservato (48 ore),1
2002/9/19,05:10,75,96,GRANDE,Misto scelto,2.12,13.96,29.6,29.6,6,138,2,Molto fresco e ben conservato (48 ore),1
2002/9/19,05:13,125,97,GRANDE,Triglia Eviscerata,7.14,3.74,26.7,26.7,10,138,2,Molto fresco e ben conservato (48 ore),1
2002/9/19,05:13,279,54,GRANDE,Pannocchie Vive,5.26,7.03,36.98,36.98,11,138,2,Molto fresco e ben conservato (48 ore),1
2002/9/19,05:13,82,58,GRANDE,Mazzancolla,1.91,27.16,51.88,51.88,12,138,2,Molto fresco e ben conservato (48 ore),1
2002/9/19,05:15,279,97,GRANDE,Triglia Eviscerata,6.79,3.37,22.88,22.88,14,138,2,Molto fresco e ben conservato (48 ore),1
2002/9/19,05:15,279,54,GRANDE,Pannocchie Vive,4.96,7.03,34.87,34.87,15,138,2,Molto fresco e ben conservato (48 ore),1
2002/9/19,05:15,279,54,GRANDE,Pannocchie Vive,4.64,7.03,32.62,32.62,17,138,2,Molto fresco e ben conservato (48 ore),1
2002/9/19,05:16,237,3,MEDIA,Seppia,2.75,7.48,20.57,20.57,18,138,2,Molto fresco e ben conservato (48 ore),1
2002/9/19,05:16,279,54,GRANDE,Pannocchie Vive,4.7,7.03,33.04,33.04,19,138,2,Molto fresco e ben conservato (48 ore),1
2002/9/19,05:17,108,11,MEDIA,Sogliola,7.98,8.86,70.7,70.7,20,138,2,Molto fresco e ben conservato (48 ore),1
2002/9/19,05:18,125,54,GRANDE,Pannocchie Vive,4.59,7.48,34.33,34.33,22,138,2,Molto fresco e ben conservato (48 ore),1
2002/9/19,05:18,90,2,GRANDE,Seppia,4.27,8.81,37.62,37.62,23,138,2,Molto fresco e ben conservato (48 ore),1
2002/9/19,05:19,88,86,GRANDE,Molo,5.04,6.89,34.73,34.73,24,138,2,Molto fresco e ben conservato (48 ore),1
2002/9/19,05:19,125,54,GRANDE,Pannocchie Vive,4.8,7.48,35.9,35.9,25,138,2,Molto fresco e ben conservato (48 ore),1
2002/9/19,05:20,130,11,MEDIA,Sogliola,6.76,8.65,58.47,58.47,1,52,2,Molto fresco e ben conservato (48 ore),1
2002/9/19,05:21,105,56,GRANDE,Pannocchie Stivate,5.38,4.04,21.74,21.74,2,52,2,Molto fresco e ben conservato (48 ore),1
2002/9/19,05:22,117,3,MEDIA,Seppia,5.59,7.76,43.38,43.38,4,52,2,Molto fresco e ben conservato (48 ore),1
2002/9/19,05:22,177,11,MEDIA,Sogliola,7.02,8.33,58.48,58.48,5,52,2,Molto fresco e ben conservato (48 ore),1
2002/9/19,05:23,122,96,GRANDE,Misto scelto,0.95,19.96,18.96,18.96,6,52,2,Molto fresco e ben conservato (48 ore),1
2002/9/19,05:23,82,56,GRANDE,Pannocchie Stivate,4.71,3.88,18.27,18.27,7,52,2,Molto fresco e ben conservato (48 ore),1
2002/9/19,05:24,125,2,GRANDE,Seppia,5.39,8.71,46.95,46.95,9,52,2,Molto fresco e ben conservato (48 ore),1
2002/9/19,05:24,78,11,MEDIA,Sogliola,8.27,9.57,79.14,79.14,10,52,2,Molto fresco e ben conservato (48 ore),1
2002/9/19,05:25,117,97,GRANDE,Triglia Eviscerata,8.13,2.8,22.76,22.76,11,52,2,Molto fresco e ben conservato (48 ore),1
2002/9/19,05:25,160,11,MEDIA,Sogliola,5.27,7.67,40.42,40.42,12,52,2,Molto fresco e ben conservato (48 ore),1
2002/9/19,05:26,105,12,PICCOLA,Sogliola,5.53,6.37,35.23,35.23,14,52,2,Molto fresco e ben conservato (48 ore),1
2002/9/19,05:26,117,56,GRANDE,Pannocchie Stivate,7.15,3.95,28.24,28.24,15,52,2,Molto fresco e ben conservato (48 ore),1
2002/9/19,05:27,107,11,MEDIA,Sogliola,7.03,8.87,62.36,62.36,17,52,2,Molto fresco e ben conservato (48 ore),1
2002/9/19,05:28,136,56,GRANDE,Pannocchie Stivate,7.06,3.86,27.25,27.25,18,52,2,Molto fresco e ben conservato (48 ore),1
2002/9/19,05:29,279,11,MEDIA,Sogliola,7.49,8.65,64.79,64.79,21,52,2,Molto fresco e ben conservato (48 ore),1
2002/9/19,05:29,279,11,MEDIA,Sogliola,3.88,8.37,32.48,32.48,22,52,2,Molto fresco e ben conservato (48 ore),1
2002/9/19,05:30,130,12,PICCOLA,Sogliola,7.62,3.5,26.67,26.67,24,52,2,Molto fresco e ben conservato (48 ore),1
