date,male,female
1948/1/1,86.7,32
1948/2/1,87,32.4
1948/3/1,86.3,32.1
1948/4/1,86.6,33
1948/5/1,86.1,32
1948/6/1,86.6,33.4
1948/7/1,86.7,33.4
1948/8/1,86.7,32.7
1948/9/1,86.3,33
1948/10/1,86.6,32.4
1948/11/1,86.5,32.6
1948/12/1,86.9,33
1949/1/1,86.5,32.6
1949/2/1,86.6,33
1949/3/1,86.5,33
1949/4/1,86.6,32.8
1949/5/1,86.6,33.1
1949/6/1,86.2,32.8
1949/7/1,86.1,33.4
1949/8/1,86.6,33.5
1949/9/1,86.6,33.4
1949/10/1,87.4,33.6
1949/11/1,86.8,33.7
1949/12/1,86.6,33.5
1950/1/1,86.2,33.4
1950/2/1,86.1,33.4
1950/3/1,85.9,33.2
1950/4/1,86.2,33.9
1950/5/1,86.3,33.6
1950/6/1,86.2,34.2
1950/7/1,86.1,33.7
1950/8/1,86.5,34.1
1950/9/1,86.5,33.7
1950/10/1,86.4,34.3
1950/11/1,86.3,34.4
1950/12/1,86.3,34
1951/1/1,86,34.3
1951/2/1,86.3,34.2
1951/3/1,86.9,35
1951/4/1,86.3,34.4
1951/5/1,86.6,34.7
1951/6/1,86.4,34.2
1951/7/1,86.3,35.2
1951/8/1,84.8,34.7
1951/9/1,86.4,34.4
1951/10/1,86.8,34.8
1951/11/1,86.5,34.7
1951/12/1,86.8,35.1
1952/1/1,86.8,35
1952/2/1,87,34.9
1952/3/1,86.5,34.1
1952/4/1,86.3,34.3
1952/5/1,86.4,34.7
1952/6/1,86.4,34.6
1952/7/1,86.3,34.4
1952/8/1,85.9,34.4
1952/9/1,85.9,35.4
1952/10/1,85.6,34.6
1952/11/1,85.6,35.4
1952/12/1,86.4,34.8
1953/1/1,86.5,35.1
1953/2/1,86.8,34.9
1953/3/1,86.8,35.2
1953/4/1,86.3,34.6
1953/5/1,85.8,34
1953/6/1,85.8,34.7
1953/7/1,85.9,34.6
1953/8/1,85.7,34.2
1953/9/1,85.4,34.3
1953/10/1,85.4,34.4
1953/11/1,85.9,33.9
1953/12/1,85.8,33.6
1954/1/1,85.8,33.9
1954/2/1,86.2,35
1954/3/1,85.6,35.1
1954/4/1,86,35
1954/5/1,85.7,34.6
1954/6/1,85.3,34.4
1954/7/1,85.4,34.1
1954/8/1,85.9,34.3
1954/9/1,86,34.9
1954/10/1,85.5,34.8
1954/11/1,85.2,34.6
1954/12/1,84.8,34.1
1955/1/1,85,34.7
1955/2/1,84.8,34.5
1955/3/1,85,34.5
1955/4/1,85.2,35.3
1955/5/1,85.1,35
1955/6/1,84.8,35.2
1955/7/1,85.3,35.8
1955/8/1,85.4,36.4
1955/9/1,85.6,36.2
1955/10/1,85.7,36.4
1955/11/1,85.8,36.5
1955/12/1,85.9,37
1956/1/1,86.1,36.7
1956/2/1,85.9,36.3
1956/3/1,85.8,36.4
1956/4/1,85.6,36.6
1956/5/1,85.8,37.1
1956/6/1,85.7,37
1956/7/1,85.5,37.2
1956/8/1,85.4,37
1956/9/1,85.2,37.1
1956/10/1,85,36.9
1956/11/1,85.2,36.9
1956/12/1,85,36.9
1957/1/1,84.8,36.6
1957/2/1,85,37.1
1957/3/1,85.2,36.9
1957/4/1,85,36.5
1957/5/1,84.9,36.6
1957/6/1,85.2,36.8
1957/7/1,85.1,37.2
1957/8/1,84.4,36.6
1957/9/1,84.6,36.9
1957/10/1,84.4,37
1957/11/1,84.4,36.9
1957/12/1,84.5,37.1
1958/1/1,84.1,36.8
1958/2/1,84,37
1958/3/1,84,37
1958/4/1,84.3,37.3
1958/5/1,84.6,37.4
1958/6/1,84.3,37.1
1958/7/1,84.6,37
1958/8/1,84.6,37.3
1958/9/1,84.7,37
1958/10/1,84.6,37
1958/11/1,84,36.8
1958/12/1,83.8,36.9
1959/1/1,83.8,37.1
1959/2/1,83.5,36.8
1959/3/1,83.8,37.1
1959/4/1,83.9,37.3
1959/5/1,83.6,37.1
1959/6/1,83.5,37.3
1959/7/1,83.9,37.1
1959/8/1,83.7,37.1
1959/9/1,83.9,37
1959/10/1,83.8,37.4
1959/11/1,83.5,37
1959/12/1,83.9,37.3
1960/1/1,83.6,37
1960/2/1,83.4,37.1
1960/3/1,82.8,36.6
1960/4/1,83.6,37.8
1960/5/1,83.4,37.9
1960/6/1,83.3,38.4
1960/7/1,83.2,38.1
1960/8/1,83.3,37.9
1960/9/1,83.5,38.2
1960/10/1,83.4,37.7
1960/11/1,83.7,38.2
1960/12/1,83.4,38.2
1961/1/1,83.4,38.2
1961/2/1,82.9,38.5
1961/3/1,83.1,38.7
1961/4/1,82.8,38.1
1961/5/1,83,38.1
1961/6/1,83.1,38.6
1961/7/1,82.8,38.1
1961/8/1,82.9,38
1961/9/1,82.6,37.7
1961/10/1,82.6,38
1961/11/1,82.7,37.8
1961/12/1,82.5,37.5
1962/1/1,82.2,37.9
1962/2/1,82.5,38
1962/3/1,82.5,37.8
1962/4/1,82,37.8
1962/5/1,82.4,37.8
1962/6/1,82.1,37.8
1962/7/1,81.7,37.7
1962/8/1,82.1,38.3
1962/9/1,82,38.3
1962/10/1,81.7,37.9
1962/11/1,81.6,37.8
1962/12/1,81.4,37.8
1963/1/1,81.4,38
1963/2/1,81.3,38.2
1963/3/1,81.4,38.2
1963/4/1,81.5,38.4
1963/5/1,81.4,38.5
1963/6/1,81.2,38.1
1963/7/1,81.5,38.3
1963/8/1,81.3,38
1963/9/1,81.4,38.4
1963/10/1,81.3,38.6
1963/11/1,81.4,38.5
1963/12/1,81,38.3
1964/1/1,81,38.4
