"Name","URI","Region GSS code","Period","Sales volume","Reporting period","House price index All property types","Average price All property types","Percentage change (monthly) All property types","Percentage change (yearly) All property types","House price index Detached houses","Average price Detached houses","Percentage change (monthly) Detached houses","Percentage change (yearly) Detached houses","House price index Semi-detached houses","Average price Semi-detached houses","Percentage change (monthly) Semi-detached houses","Percentage change (yearly) Semi-detached houses","House price index Terraced houses","Average price Terraced houses","Percentage change (monthly) Terraced houses","Percentage change (yearly) Terraced houses","House price index Flats and maisonettes","Average price Flats and maisonettes","Percentage change (monthly) Flats and maisonettes","Percentage change (yearly) Flats and maisonettes","Pivotable date"
City of Bristol,http://landregistry.data.gov.uk/id/region/city-of-bristol,E06000023,2017-02,560,monthly,123.83,260702,0.68,8.29,125.1,480921,0.39,8.13,123.83,309397,0.38,7.16,122.96,263079,0.67,7.47,124.81,214750,0.9,10.11,2017-02-01
City of Bristol,http://landregistry.data.gov.uk/id/region/city-of-bristol,E06000023,2017-03,650,monthly,123.8,260624,-0.03,6.88,125.04,480706,-0.04,6.72,123.71,309094,-0.1,5.91,122.79,262702,-0.14,6.1,124.99,215048,0.14,8.51,2017-03-01
City of Bristol,http://landregistry.data.gov.uk/id/region/city-of-bristol,E06000023,2017-04,559,monthly,123.41,259810,-0.31,6.04,124.54,478788,-0.4,5.61,123.19,307779,-0.43,5.38,122.28,261618,-0.41,5.15,124.84,214794,-0.12,7.66,2017-04-01
City of Bristol,http://landregistry.data.gov.uk/id/region/city-of-bristol,E06000023,2017-05,646,monthly,124.69,262509,1.04,5.05,125.43,482196,0.71,5.05,124.66,311461,1.2,4.7,123.39,263981,0.9,3.93,126.28,217276,1.16,6.72,2017-05-01
City of Bristol,http://landregistry.data.gov.uk/id/region/city-of-bristol,E06000023,2017-06,665,monthly,125.45,264092,0.6,4.85,125.5,482451,0.05,4.68,125.2,312811,0.43,4.22,124.19,265695,0.65,3.66,127.18,218818,0.71,6.81,2017-06-01
City of Bristol,http://landregistry.data.gov.uk/id/region/city-of-bristol,E06000023,2017-07,711,monthly,128.32,270151,2.29,4.6,127.96,491939,1.97,4.29,128.17,320245,2.38,4.22,127.03,271786,2.29,3.5,130.09,223833,2.29,6.3,2017-07-01
City of Bristol,http://landregistry.data.gov.uk/id/region/city-of-bristol,E06000023,2017-08,771,monthly,129.66,272960,1.04,4.29,129.25,496870,1.0,3.61,129.51,323583,1.04,3.87,128.68,275316,1.3,3.52,131.05,225474,0.73,5.66,2017-08-01
City of Bristol,http://landregistry.data.gov.uk/id/region/city-of-bristol,E06000023,2017-09,660,monthly,131.25,276303,1.22,4.97,131.34,504920,1.62,4.73,131.39,328288,1.45,4.74,130.32,278809,1.27,4.29,132.35,227718,1.0,6.06,2017-09-01
City of Bristol,http://landregistry.data.gov.uk/id/region/city-of-bristol,E06000023,2017-10,688,monthly,131.2,276201,-0.04,5.15,131.84,506829,0.38,4.89,131.73,329130,0.26,5.07,130.27,278717,-0.03,4.73,132.01,227138,-0.25,5.78,2017-10-01
City of Bristol,http://landregistry.data.gov.uk/id/region/city-of-bristol,E06000023,2017-11,758,monthly,130.39,274509,-0.61,5.82,131.41,505180,-0.33,5.37,131.26,327941,-0.36,5.9,129.39,276828,-0.68,5.57,131.08,225527,-0.71,6.15,2017-11-01
City of Bristol,http://landregistry.data.gov.uk/id/region/city-of-bristol,E06000023,2017-12,633,monthly,130.53,274797,0.1,5.94,131.53,505660,0.1,5.32,131.72,329093,0.35,6.38,129.66,277408,0.21,5.98,130.87,225175,-0.16,5.71,2017-12-01
