date,male,female
1948/1/1,43214,16881
1948/2/1,43400,17124
1948/3/1,43080,16990
1948/4/1,43215,17462
1948/5/1,43002,16970
1948/6/1,43257,17700
1948/7/1,43429,17752
1948/8/1,43403,17403
1948/9/1,43240,17575
1948/10/1,43396,17250
1948/11/1,43337,17365
1948/12/1,43544,17625
1949/1/1,43343,17428
1949/2/1,43396,17661
1949/3/1,43393,17680
1949/4/1,43455,17552
1949/5/1,43505,17754
1949/6/1,43371,17577
1949/7/1,43368,17933
1949/8/1,43602,17988
1949/9/1,43681,17952
1949/10/1,44107,18078
1949/11/1,43861,18144
1949/12/1,43821,18087
1950/1/1,43633,18028
1950/2/1,43629,18058
1950/3/1,43622,17982
1950/4/1,43811,18347
1950/5/1,43888,18195
1950/6/1,43855,18564
1950/7/1,43836,18285
1950/8/1,44054,18542
1950/9/1,43988,18361
1950/10/1,43762,18666
1950/11/1,43524,18762
1950/12/1,43396,18672
1951/1/1,43193,18748
1951/2/1,43108,18670
1951/3/1,43373,19153
1951/4/1,42966,18842
1951/5/1,43031,19013
1951/6/1,42858,18757
1951/7/1,42786,19320
1951/8/1,42879,19048
1951/9/1,42827,18953
1951/10/1,43038,19166
1951/11/1,42906,19108
1951/12/1,43091,19366
1952/1/1,43084,19348
1952/2/1,43129,19290
1952/3/1,42843,18878
1952/4/1,42734,18986
1952/5/1,42823,19235
1952/6/1,42877,19226
1952/7/1,42871,19091
1952/8/1,42718,19159
1952/9/1,42763,19694
1952/10/1,42678,19293
1952/11/1,42762,19729
1952/12/1,43177,19444
1953/1/1,43754,19685
1953/2/1,43933,19587
1953/3/1,43910,19747
1953/4/1,43713,19454
1953/5/1,43518,19097
1953/6/1,43532,19531
1953/7/1,43569,19488
1953/8/1,43515,19301
1953/9/1,43386,19341
1953/10/1,43454,19413
1953/11/1,43789,19160
1953/12/1,43791,19004
1954/1/1,43871,19230
1954/2/1,44135,19859
1954/3/1,43854,19939
1954/4/1,44081,19853
1954/5/1,43993,19682
1954/6/1,43798,19545
1954/7/1,43896,19406
1954/8/1,44185,19522
1954/9/1,44299,19910
1954/10/1,44082,19854
1954/11/1,43983,19776
1954/12/1,43813,19499
1955/1/1,44040,19870
1955/2/1,43923,19773
1955/3/1,44096,19786
1955/4/1,44287,20277
1955/5/1,44283,20098
1955/6/1,44218,20264
1955/7/1,44523,20622
1955/8/1,44566,21015
1955/9/1,44709,20919
1955/10/1,44818,21003
1955/11/1,44925,21112
1955/12/1,45028,21417
1956/1/1,45177,21242
1956/2/1,45068,21056
1956/3/1,45073,21102
1956/4/1,45010,21254
1956/5/1,45155,21567
1956/6/1,45182,21520
1956/7/1,45110,21642
1956/8/1,45086,21587
1956/9/1,45039,21675
1956/10/1,44963,21583
1956/11/1,45086,21571
1956/12/1,45073,21627
1957/1/1,44974,21454
1957/2/1,45110,21769
1957/3/1,45225,21688
1957/4/1,45164,21483
1957/5/1,45142,21553
1957/6/1,45385,21667
1957/7/1,45377,21959
1957/8/1,45065,21641
1957/9/1,45228,21836
1957/10/1,45195,21871
1957/11/1,45266,21857
1957/12/1,45374,22024
1958/1/1,45223,21872
1958/2/1,45202,21999
1958/3/1,45222,22001
1958/4/1,45445,22202
1958/5/1,45638,22257
1958/6/1,45523,22151
1958/7/1,45726,22098
1958/8/1,45771,22266
1958/9/1,45841,22161
1958/10/1,45858,22187
1958/11/1,45599,22059
1958/12/1,45580,22160
1959/1/1,45606,22330
1959/2/1,45519,22130
1959/3/1,45705,22363
1959/4/1,45828,22511
1959/5/1,45732,22446
1959/6/1,45740,22538
1959/7/1,46044,22495
1959/8/1,45945,22487
1959/9/1,46097,22448
1959/10/1,46092,22729
1959/11/1,45994,22539
1959/12/1,46259,22735
1960/1/1,46296,22666
1960/2/1,46213,22736
1960/3/1,45957,22442
1960/4/1,46400,23179
1960/5/1,46322,23304
1960/6/1,46337,23597
1960/7/1,46305,23440
1960/8/1,46455,23386
1960/9/1,46555,23596
1960/10/1,46569,23315
1960/11/1,46785,23654
1960/12/1,46683,23712
1961/1/1,46740,23707
1961/2/1,46506,23914
1961/3/1,46616,24087
1961/4/1,46549,23718
1961/5/1,46704,23748
1961/6/1,46783,24095
1961/7/1,46695,23841
1961/8/1,46776,23758
1961/9/1,46608,23609
1961/10/1,46636,23856
1961/11/1,46615,23761
1961/12/1,46480,23597
1962/1/1,46342,23847
1962/2/1,46485,23924
1962/3/1,46549,23865
1962/4/1,46439,23839
1962/5/1,46709,23842
1962/6/1,46599,23915
1962/7/1,46408,23894
1962/8/1,46707,24274
1962/9/1,46824,24329
1962/10/1,46769,24148
1962/11/1,46743,24128
1962/12/1,46722,24132
1963/1/1,46820,24326
